title,year,domestic_gross,foreign_gross
nebraska,2013,17654912,7106448
need for speed,2014,43568507,150601112
neighbors,2014,150086800,120857628
neighbors 2 sorority rising,2016,55340730,53416891
nerve,2016,38583626,32068658
never back down 2 the beatdown,2011,0,0
never let me go,2010,2434652,8739066
night at the museum secret of the tomb,2014,113746621,240010000
night school,2018,77339130,25669662
nightcrawler,2014,32381218,17953200
no escape,2015,27288872,15555644
no good deed,2014,52543632,1779578
no se aceptan devoluciones,2013,44467206,56019410
no strings attached,2011,70662220,78565858
noah,2014,101200044,251631021
nocturnal animals,2016,10663357,21735324
nonstop,2014,91742160,130640895
norm of the north,2016,17062499,13473161
not cool,2014,35688,0
now you see me,2013,117723989,225045211
now you see me 2,2016,65075540,263249467
nowhere boy,2010,1445366,6339863
nsecure,2010,2595644,0
o menino e o mundo,2015,129479,151488
oblivion,2013,89107235,198809398
obvious child,2014,3122616,201454
oceans,2010,19422319,67365211
oculus,2014,27695246,16420250
office christmas party,2016,54767494,36555805
olympus has fallen,2013,98927592,73951336
on the basis of sex,2018,24622687,13450690
one day,2011,13843771,45324921
one for the money,2012,26414527,9782694
only god forgives,2013,775849,3718711
only the brave,2017,18340051,6215126
open road,2013,0,47469
ouija,2014,50856010,52444622
ouija origin of evil,2016,35144505,46687361
our family wedding,2010,20255281,1155265
our idiot brother,2011,24814830,1046419
out of the furnace,2013,11330849,4103526
overboard,2018,50316123,35053707
oz the great and powerful,2013,234770996,255588055
pacific rim,2013,101802906,309200000
pacific rim uprising,2018,59874525,231055623
paddington,2015,76223578,182565519
pain  gain,2013,49875291,31400000
palo alto,2014,767732,388577
pan,2015,35088320,116437653
paper towns,2015,32000304,53450180
paranoia,2013,7388654,8952113
paranormal activity 2,2010,84752907,92759125
paranormal activity 3,2011,104028807,103011037
paranormal activity 4,2012,53900335,88917657
paranormal activity the ghost dimension,2015,18297124,59662250
paranormal activity the marked ones,2014,32462372,58442482
paranorman,2012,56003051,52116611
parental guidance,2012,77267296,43565087
parker,2013,17616641,30926747
parkland,2013,641439,974914
passengers,2016,100014699,202224973
paterson,2016,2141423,8586113
patriots day,2016,31886361,20951628
patti cake,2017,800148,670942
paul,2011,37412945,63749161
paul apostle of christ,2018,17547999,7981499
paul blart mall cop 2,2015,71091594,36559052
peeples,2013,9177065,130101
penguins of madagascar,2014,83350911,283591620
people like us,2012,12431792,185680
peppermint,2018,35418723,16382035
percy jackson  the olympians the lightning thief,2010,88768303,134282571
percy jackson sea of monsters,2013,68559554,132300000
peter rabbit,2018,115234093,231902384
phantom,2013,1034589,164921
philomena,2013,37709979,61253413
pink ribbons inc,2012,26608,0
piranha 3d,2010,25003155,58657005
pirates of the caribbean dead men tell no tales,2017,172558876,615682261
pirates of the caribbean on stranger tides,2011,241063875,804600000
pitch perfect,2012,65001093,51043254
pitch perfect 2,2015,184296230,103329238
pitch perfect 3,2017,104897530,80838882
pixels,2015,78765986,165275818
plastic,2014,0,575371
please give,2010,4033574,536604
plush,2013,3080,25784
point break,2015,28782481,97922110
poltergeist,2015,47425125,48287944
pompeii,2014,23169033,85300000
popstar never stop never stopping,2016,9496130,40990
pound of flesh,2015,0,0
power rangers,2017,85364450,57167102
praia do futuro,2015,20620,740058
predators,2010,52000688,75233701
premium rush,2012,20275446,11117755
pride and prejudice and zombies,2016,10907291,5731009
priest,2011,29136626,55017400
prisoners,2013,61002302,52400000
project almanac,2015,22348241,10561196
project x,2012,54731865,48296323
prom,2011,10130219,632964
prometheus,2012,126477084,275971181
proud mary,2018,20868638,840901
puss in boots,2011,149260504,405726973
quartet,2013,18388357,37790578
que horas ela volta,2015,376976,2872065
queen crab,2015,0,0
queen of katwe,2016,8874389,1181092
rabbit hole,2010,2229058,3975976
race,2016,19115191,4630581
ramona and beezus,2010,26167002,1302619
rampage,2018,101028233,327028047
rango,2011,123477607,122246993
raymond did it,2011,3632,0
reach me,2014,0,0
ready player one,2018,137690172,441599964
real steel,2011,85463309,178417032
red 2,2013,53262560,88244795
red dawn,2012,44806783,3357367
red lights,2012,49521,14469363
red riding hood,2011,37662162,54016280
red sparrow,2018,46874505,99077356
red state,2011,1065429,918167
red tails,2012,49876377,489121
redemption,2013,36686,13556787
redemption road,2011,29384,0
remember me,2010,19068240,37437880
repo men,2010,13942007,4253231
resident evil afterlife,2010,60128566,235745624
resident evil retribution,2012,42345531,198302098
resident evil the final chapter,2017,26844692,287256498
restless,2011,163753,2608758
ricki and the flash,2015,26839498,14326535
riddick,2013,42025135,52738623
ride along,2014,134202565,19531235
ride along 2,2016,90862685,33964631
rings,2017,27793018,55124265
rio,2011,143619809,343900000
rio 2,2014,131538435,361307856
ripd,2013,33618855,45457823
rise of the guardians,2012,103412758,203488144
rise of the planet of the apes,2011,176760185,294226015
risen,2016,36880033,9375730
rl stines monsterville the cabinet of souls,2015,0,0
road hard,2015,113169,0
robin hood,2010,105487148,216971858
robin hood,2018,30824628,53922813
robocop,2014,58607007,184374792
robot  frank,2012,3317468,1616888
rock dog,2017,9420546,14727942
rock of ages,2012,38518613,22513319
rock the house,2011,0,0
rock the kasbah,2015,3020665,365488
rogue one a star wars story,2016,532177324,516925532
roman j israel esq,2017,11962712,1004300
room,2015,14677674,21585109
rosewater,2014,3128941,56776
rotor dr1,2015,0,0
rough night,2017,22105643,24738714
rudderless,2014,56001,511218
run all night,2015,26461644,40500000
run hide die,2015,0,0
runner runner,2013,19316646,41196034
rush,2013,26947624,71283215
rust,2010,0,0
sabotage,2014,10508518,7867925
safe,2012,17142080,24353133
safe haven,2013,71399120,22651831
safe house,2012,126181630,82360532
safety not guaranteed,2012,4010957,411361
salt,2010,118311368,172339126
salvation boulevard,2011,28468,0
same kind of different as me,2017,6423605,0
samsara,2012,2672413,3294258
san andreas,2015,155190832,301067707
sanctum,2011,23209310,85747788
saul fia,2015,1777043,7919494
sausage party,2016,97670358,43673897
savages,2012,47323100,35190390
saving mr banks,2013,83299761,31662764
saw 3d,2010,45710178,88025106
scouts guide to the zombie apocalypse,2015,3703046,11851809
scream 4,2011,38180928,57808662
sea rex 3d journey to a prehistoric world,2010,6096582,10418621
season of the witch,2011,24827228,66299372
second act,2018,39282227,24006627
secret in their eyes,2015,20180155,12427864
secretariat,2010,59699513,676734
seeking a friend for the end of the world,2012,7078738,4688221
serbuan maut,2012,4105123,5192284
seven psychopaths,2012,15024049,18011687
seventh son,2015,17725785,91149182
sex and the city 2,2010,95347692,199333086
sex tape,2014,38543473,87526036
sgt stubby an american hero,2018,3054285,591672
shame,2011,4002293,16410548
shark lake,2015,0,0
shark night 3d,2011,18877153,0
sherlock gnomes,2018,43242871,44284780
sherlock holmes a game of shadows,2011,186848418,348815025
shes out of my league,2010,32010860,16670117
shrek forever after,2010,238736787,517507886
shut in,2016,6900335,4460330
shutter island,2010,128012934,171448848
sicario,2015,46889293,37504456
sicario day of the soldado,2018,50065850,25819346
side effects,2013,32172757,34569381
silence,2016,7100177,16626449
silent hill revelation 3d,2012,17530219,38445453
silver linings playbook,2012,132092958,104319495
sin city a dame to kill for,2014,13757804,26893038
sing,2016,270329045,364125744
sinister,2012,48086903,39640904
sinister 2,2015,27740955,26363270
sisters,2015,87044645,18986015
skyfall,2012,304360277,806166704
skyline,2010,21416355,46848618
skyscraper,2018,68420120,235695414
sleight,2017,3930990,3460
slender man,2018,30564825,21158819
smallfoot,2018,83240103,130451174
smurfs the lost village,2017,45020282,152558304
snabba cash,2012,188870,10023533
snatched,2017,45852178,11999999
snitch,2013,42930462,14977272
snow flower and the secret fan,2011,1348205,10000000
snow white a deadly summer,2012,0,0
snow white and the huntsman,2012,155136755,245884991
snowden,2016,21587519,13793399
snowpiercer,2014,4563029,83506851
solo a star wars story,2018,213767512,179383835
some guy who kills people,2012,0,0
something borrowed,2011,39046489,26037627
somewhere,2010,1785645,15237476
son of god,2014,59700064,11249729
song one,2015,32251,404838
sorry to bother you,2018,17493096,792464
soul surfer,2011,43853424,3305228
source code,2011,54712227,85716272
southpaw,2015,52421953,41734503
sparkle,2012,24397469,262854
sparrows dance,2013,2602,0
speak no evil,2013,0,32927
spectre,2015,200074175,679546748
spiderman homecoming,2017,334201140,545965210
spotlight,2015,45055776,47032684
spring breakers,2013,14124286,17024965
spy kids all the time in the world,2011,38536376,42144807
st vincent,2014,44137712,10699522
standing ovation,2010,531806,0
star trek beyond,2016,158848340,176953893
star trek into darkness,2013,228778661,238602923
step up 3d,2010,42400223,123488894
step up revolution,2012,35074677,130477613
steve jobs,2015,17766658,17812349
stoker,2013,1703125,10331788
stolen,2012,289773,17677973
stone,2010,1810078,2254942
storks,2016,72679278,110674153
straight as,2013,0,0
straight outta compton,2015,161197785,40985196
stranded,2013,0,285593
strangerland,2015,17472,143625
straw dogs,2011,10324441,929380
stronger,2017,4211129,4575623
stung,2015,0,0
subconscious,2015,0,0
submarine,2011,467602,4114335
sucker punch,2011,36392502,53365887
suffragette,2015,4702420,29342489
suicide squad,2016,325100054,420959833
sully,2016,125070033,113454523
super,2011,327716,266217
super 8,2011,127004179,130968566
survivor,2015,0,1703281
suspiria,2018,2483472,4551143
swelter,2014,0,44197
swiss army man,2016,4210454,1626657
table 19,2017,3614896,1005503
tag,2018,54730625,22295561
take me home tonight,2011,6928068,648536
take shelter,2011,1728953,3243063
taken 2,2012,139854287,237953117
taken 3,2015,89256424,238400000
takers,2010,57744720,12842548
tammy,2014,84525432,11882223
tangled,2010,200821936,385655304
tanner hall,2011,5073,0
ted,2012,218665740,337350887
ted 2,2015,81476385,135737758
teefa in trouble,2018,0,98806
teenage mutant ninja turtles,2014,191204754,293800000
teenage mutant ninja turtles out of the shadows,2016,82051601,163276773
teeth and blood,2015,0,0
test,2014,18823,0
testament of youth,2015,1822250,4824419
texas chainsaw 3d,2013,34341945,13324068
thank you for your service,2017,9479390,505926
that awkward moment,2014,26068955,27000000
thats my boy,2012,36931089,21154146
the 1517 to paris,2018,36276286,19819914
the 33,2015,12227722,16172993
the 5th quarter,2011,408159,0
the 5th wave,2016,34912982,76423416
the accountant,2016,86260045,66702038
the adjustment bureau,2011,62495645,64435680
the adventures of tintin,2011,77591831,296402120
the age of adaline,2015,42629776,26354760
the algerian,2015,0,0
the amazing spiderman,2012,262030663,495859604
the amazing spiderman 2,2014,202853933,506142403
the american,2010,35606376,32344347
the angry birds movie,2016,107509366,244818521
the apparition,2012,4936819,5700462
the art of getting by,2011,1430241,558794
the artist,2011,44667095,83589617
the ateam,2010,77222099,100019072
the avengers,2012,623279547,894656350
the babadook,2014,950792,6531595
the beaver,2011,970816,4075222
the best exotic marigold hotel,2012,46383639,88256141
the best man holiday,2013,70525195,2310515
the best of me,2014,26766213,14293205
the bfg,2016,55483770,144162910
the big short,2015,70259870,62902882
the big sick,2017,42872467,11100393
the big wedding,2013,21819348,26606623
the big year,2011,7204138,480386
the birth of a nation,2016,15861566,1029445
the book of eli,2010,94835059,63915758
the book of life,2014,50151543,47500000
the book thief,2013,21488481,54598230
the boss,2016,63077560,15574647
the boss baby,2017,175003033,335875729
the bounce back,2016,321910,99494
the bounty hunter,2010,67061228,68747609
the bourne legacy,2012,113203870,167152050
the boxtrolls,2014,50837305,61108946
the boy,2016,35819556,32401396
the boy next door,2015,36006065,17395873
the brass teapot,2013,6997,406736
the bronze,2016,615816,0
the bye bye man,2017,22395806,8791921
the cabin in the woods,2012,42073277,28616691
the call,2013,51872378,17949098
the campaign,2012,86907746,18000000
the canyons,2013,59671,2704
the changeup,2011,37243418,38753649
the christmas bunny,2010,0,0
the christmas candle,2013,1632000,301829
the chronicles of narnia the voyage of the dawn treader,2010,104386950,313800000
the circle,2017,20497844,20154020
the cold light of day,2012,3763583,21597623
the collection,2012,6810754,2079340
the commuter,2018,36343858,65641573
the conjuring,2013,137400141,180600000
the conspirator,2011,11538204,4369207
the counselor,2013,16973715,54035619
the crazies,2010,39123589,17321945
the croods,2013,187168425,385900000
the curse of downers grove,2015,0,0
the d train,2015,669688,102678
the dark knight rises,2012,448139099,636300000
the dark tower,2017,50701325,62760202
the darkest hour,2011,21443494,41388221
the darkest minds,2018,12695691,25665737
the darkness,2016,10753574,144719
the dead undead,2010,0,0
the debt,2011,31177548,15426506
the descendants,2011,82624961,92882839
the devil inside,2012,53262945,48496545
the devils double,2011,1361512,4604134
the diary of a teenage girl,2015,1477002,802957
the dictator,2012,59650222,120498675
the dilemma,2011,48475290,22071575
the dirties,2013,0,0
the disappearance of alice creed,2010,166980,1438159
the disappointments room,2016,2423467,1080294
the disaster artist,2017,21120616,7597051
the dog lover,2016,0,0
the drop,2014,10724389,8330145
the duff,2015,34030343,9498291
the eagle,2011,19490041,19503507
the east,2013,2274649,753307
the edge of seventeen,2016,14431633,4664370
the emoji movie,2017,86089513,130472799
the equalizer,2014,101530738,91372886
the equalizer 2,2018,102084362,88368770
the expendables,2010,103068524,165199650
the expendables 2,2012,85028192,226951064
the expendables 3,2014,39322544,170138834
the extra man,2010,453377,38731
the face of an angel,2015,0,0
the face of love,2014,385069,773808
the family,2013,36918811,14159730
the fate of the furious,2017,225764765,1009081502
the fault in our stars,2014,124872350,182294484
the favourite,2018,34366783,59747146
the fifth estate,2013,3254172,2900000
the fighter,2010,93617009,35645379
the final girls,2015,0,0
the finest hours,2016,27569558,21683203
the first purge,2018,69488745,67128560
the first time,2012,17061,0
the fits,2016,166425,2817
the fiveyear engagement,2012,28700285,32923534
the florida project,2017,5904366,5390958
the foreigner,2017,34393507,106389853
the forest,2016,26594261,14154969
the founder,2017,12786053,11617139
the frozen,2012,0,0
the frozen ground,2013,0,5617460
the future,2011,568662,670512
the gallows,2015,22764410,18892064
the gambler,2014,33680992,5037039
the gatekeepers,2013,2408553,183755
the ghost writer,2010,15541549,49990942
the giant mechanical man,2012,7396,0
the gift,2015,43787265,15191212
the girl on the train,2016,75395035,98883179
the girl with the dragon tattoo,2011,102515793,136858177
the giver,2014,45090374,21449831
the good dinosaur,2015,123087120,210683917
the good heart,2010,20930,320000
the grace card,2011,2430735,0
the grand budapest hotel,2014,59076019,104905242
the great gatsby,2013,144840419,206200000
the great wall,2017,45157105,289329747
the greatest showman,2017,174340174,212325376
the green hornet,2011,98780042,130375461
the grey,2012,51580136,29669040
the guard,2011,5359774,15837680
the guilt trip,2012,37134215,4160459
the gunman,2015,10664749,7929478
the hangover part ii,2011,254464305,332000000
the hate u give,2018,29719483,5348182
the hateful eight,2015,54117416,93747470
the heat,2013,159581587,70146187
the help,2011,169705587,43414417
the hit list,2011,0,0
the hobbit an unexpected journey,2012,303003568,714000000
the hobbit the battle of the five armies,2014,255119788,690457833
the hobbit the desolation of smaug,2013,258366855,702000000
the homesman,2014,2429989,5787582
the host,2013,26623701,37853350
the house,2017,25584504,5607921
the hundredfoot journey,2014,54235441,40035047
the hunger games,2012,408010692,269912687
the hunger games catching fire,2013,424668047,440200000
the hunger games mockingjay  part 1,2014,337135885,429439246
the hunger games mockingjay  part 2,2015,281723902,367262885
the hurricane heist,2018,6115824,24847860
the ides of march,2011,40962534,36773391
the imitation game,2014,91125143,136615320
the incredible burt wonderstone,2013,22537881,4854728
the infiltrator,2016,15436808,5281296
the intern,2015,75764672,121351038
the internship,2013,44672764,49000000
the interview,2014,6105175,6237457
the joneses,2010,1475746,2065819
the judge,2014,47119388,29000000
the jungle book,2016,364001123,598853424
the karate kid,2010,176591618,175183320
the kids are all right,2010,20811365,15464104
the killer inside me,2010,217277,3400000
the last airbender,2010,131772187,187941694
the last days on mars,2013,24084,237280
the last exorcism,2010,41034350,29131550
the last exorcism part ii,2013,15179303,10269404
the last five years,2015,147299,57999
the last godfather,2011,164247,0
the last song,2010,62950384,29728564
the last stand,2013,12050299,36280458
the last witch hunter,2015,27367660,103451252
the lazarus effect,2015,25801570,12557740
the legend of hercules,2014,18848538,40104781
the legend of tarzan,2016,126643061,222258964
the lego batman movie,2017,175750384,134909634
the lego movie,2014,257784718,199944670
the lego ninjago movie,2017,59281555,63455646
the light between oceans,2016,12545979,9735753
the lincoln lawyer,2011,58009200,29135886
the lion of judah,2011,0,0
the little prince,2016,1311213,100717706
the lobster,2016,9196278,8823556
the lone ranger,2013,89302115,170700000
the longest ride,2015,37446117,26356811
the looking glass,2015,1711,0
the lords of salem,2013,1165881,375250
the losers,2010,23591432,6272408
the lost city of z,2017,8574339,8547484
the lost medallion the adventures of billy stone,2013,549632,0
the lovers,2015,0,53899
the lucky one,2012,60457138,36176695
the lunchbox,2014,4231500,8000000
the magnificent seven,2016,93432655,69092501
the maids room,2014,0,0
the man who knew infinity,2016,3877922,8504200
the man with the iron fists,2012,15634090,6384898
the martian,2015,228433663,426837780
the masked saint,2016,182695,0
the master,2012,16247159,34400257
the maze runner,2014,102427862,245891999
the mechanic,2011,29121498,47225895
the meddler,2016,4267219,1259723
the meg,2018,145443742,384086973
the monuments men,2014,78031620,80671128
the mortal instruments city of bones,2013,31165421,44800146
the mule,2018,103804407,67053269
the mummy,2017,80101125,329852780
the muppets,2011,88625922,72346000
the neon demon,2016,1333124,2226679
the next three days,2010,21148651,46107265
the nice guys,2016,36261763,23334984
the night before,2015,43035725,9391621
the night visitor,2015,0,0
the november man,2014,25018119,9802216
the nut job,2014,64251538,58278428
the nut job 2 nutty by nature,2017,28370522,29067867
the nutcracker and the four realms,2018,54858851,115435048
the nutcracker in 3d,2010,195459,20270557
the odd life of timothy green,2012,51853450,3395709
the other guys,2010,119219978,51716492
the other side of the door,2016,3000342,9904765
the other woman,2014,83911193,111200000
the overnight,2015,1109808,56188
the paperboy,2012,677200,3350463
the peanuts movie,2015,130178411,119913199
the perfect game,2010,1089445,2841922
the perfect guy,2015,57027435,3250731
the perfect match,2016,9669521,512529
the perks of being a wallflower,2012,17742948,15326355
the place beyond the pines,2013,21403519,25607930
the possession,2012,49130588,33794476
the possession of hannah grace,2018,14836174,27949213
the post,2017,81903458,97845422
the predator,2018,51024708,108462855
the prince,2014,0,0
the promise,2017,8224288,2327129
the purge,2013,64473115,26793466
the purge anarchy,2014,71562550,39972331
the purge election year,2016,79042440,39472287
the railway man,2014,4438438,19471772
the raven,2012,16008272,14593529
the reef,2010,0,15037867
the reluctant fundamentalist,2013,528731,0
the resurrection of gavin stone,2017,2303792,0
the revenant,2015,183637894,349300408
the ridiculous 6,2015,0,0
the rite,2011,33047633,64096354
the roommate,2011,37300107,15245600
the rover,2014,1109199,2071053
the rum diary,2011,13109815,8434917
the runaways,2010,3573673,1704959
the sapphires,2013,2450867,17944173
the second best exotic marigold hotel,2015,33078266,57306040
the secret life of pets,2016,368384330,518366204
the secret life of walter mitty,2013,58236838,129624345
the sessions,2012,6002451,5492753
the shallows,2016,55121623,63641819
the shape of water,2017,63859435,131931359
the signal,2014,600896,2064426
the sisterhood of night,2015,6870,0
the sisters brothers,2018,3143056,10000000
the sitter,2011,30542576,8206828
the skeleton twins,2014,5284309,512883
the sleepwalker,2014,2636,0
the smurfs,2011,142614158,421135165
the smurfs 2,2013,71017784,277529739
the snowman,2017,6670765,36555381
the social network,2010,96962694,127959441
the son of no one,2011,30680,1117898
the sorcerers apprentice,2010,63150991,154835329
the space between us,2017,7885294,8596111
the spectacular now,2013,6852971,63980
the spongebob movie sponge out of water,2015,162994032,148019149
the spy next door,2010,24307106,22445752
the square,2013,124244,52018
the star,2017,40847995,21910015
the strangers prey at night,2018,24431472,5528579
the sweeney,2013,26345,7974021
the switch,2010,27758465,22100000
the tempest,2010,277943,0
the theory of everything,2014,35893537,87434155
the thing,2011,16999934,10573144
the three musketeers,2011,20377913,119500000
the three stooges,2012,44338224,9714025
the to do list,2013,3491669,637159
the tourist,2010,67631157,211100212
the town,2010,92186262,60380619
the transporter refueled,2015,16029670,53668825
the tree of life,2011,13305665,48416161
the twilight saga eclipse,2010,300531751,405571077
the vatican exorcisms,2013,0,0
the vatican tapes,2015,1784763,13144421
the virginity hit,2010,636706,0
the visit,2015,65206105,33471711
the vow,2012,125014030,72604130
the walk,2015,10161183,51330921
the wall,2017,1803064,2692198
the warriors way,2010,5666340,2847985
the watch,2012,34353000,32777045
the water diviner,2015,4200117,26854610
the way way back,2013,21502690,5351120
the wedding ringer,2015,64460211,15711385
the witch,2016,25138705,15315815
the wolf of wall street,2013,116900694,272969720
the wolfman,2010,62189884,80444474
the wolverine,2013,132556852,283900000
the woman in black,2012,54333290,74622608
the words,2012,11494838,4874870
the worlds end,2013,26004851,21503654
the young messiah,2016,6469813,843884
there be dragons,2011,1069334,2951656
they came together,2014,0,82780
think like a man,2012,91547205,21826559
think like a man too,2014,65028687,4999246
this is martin bonner,2013,0,0
this means war,2012,54760791,102213766
thor,2011,181030624,268295994
thor ragnarok,2017,315058289,531921735
thor the dark world,2013,206362140,438240376
thoroughbreds,2018,3072605,114697
three billboards outside ebbing missouri,2017,54513740,105678175
tim and erics billion dollar movie,2012,201436,22216
tinker tailor soldier spy,2011,24149393,57303418
tiny furniture,2010,391674,32475
to rome with love,2012,16684352,57641663
tomb raider,2018,58250803,215226698
tomorrowland,2015,93436322,113191196
tooth fairy,2010,60022256,52588130
top five,2014,25317379,684362
total recall,2012,58877969,152978119
tower heist,2011,78046570,72376376
toy story 3,2010,415004880,653874642
trainwreck,2015,110212700,30911197
trance,2013,2322593,20271459
transcendence,2014,23022309,80016949
transformers age of extinction,2014,245439076,858600000
transformers dark of the moon,2011,352390543,771400000
transformers the last knight,2017,130168683,472724657
trash,2015,17484,6535702
treachery,2013,0,0
treading water,2015,0,0
trespass,2011,16816,769716
triangle,2010,0,1594955
triple 9,2016,12639297,13304495
trolljegeren,2011,253444,5453194
trolls,2016,153707064,190443070
trouble with the curve,2012,35763137,12055776
true grit,2010,171243005,81033923
trust,2011,120016,0
truth or dare,2018,41411015,53716329
tulip fever,2017,2455635,4337133
turbo,2013,83028130,203868448
tusk,2014,1821983,65571
two night stand,2014,15600,852481
unbroken,2014,115637895,47889929
uncle drew,2018,42469946,4057215
under the skin,2014,2614251,4615682
underdogs,2013,35017,1357632
underworld awakening,2012,62321039,98058891
underworld blood wars,2017,30353973,50855249
unfinished business,2015,10219501,2994550
unforgettable,2017,11368012,4853199
unfriended,2015,32789645,31574553
unfriended dark web,2018,8866745,7567843
united passions,2015,918,167914
unknown,2011,63686397,72436686
unnatural,2015,0,0
unsane,2018,7690044,6554887
unstoppable,2010,81562942,84157979
upgrade,2018,11977130,4576155
upside down,2013,102118,26284921
vacation,2015,58884188,43422312
valentines day,2010,110485654,107083674
valerian and the city of a thousand planets,2017,40479370,174618986
valhalla rising,2010,30638,700975
vampires suck,2010,36661504,44763484
vamps,2012,3361,91451
venom,2018,213511408,640117197
veronica mars,2014,3322127,163256
vice,2018,47836282,23046889
victor frankenstein,2015,5775076,25349291
walking with dinosaurs,2013,36076121,87292721
walter,2015,0,0
wanderlust,2012,17288155,6871779
war dogs,2016,43034523,43199980
war for the planet of the apes,2017,146880162,342712105
war horse,2011,79883359,76932170
war room,2015,67790117,6185122
warcraft,2016,47225655,378296626
warm bodies,2013,66380662,48740946
warrior,2011,13657115,10558270
water  power,2014,42557,0
water for elephants,2011,58709717,58100000
we are your friends,2015,3591417,6561998
we bought a zoo,2011,75624550,43104523
we have your husband,2011,0,0
weekend,2011,484592,1092993
welcome to marwen,2018,10763520,2111402
welcome to the rileys,2010,152857,203062
were the millers,2013,150394119,117422157
what to expect when youre expecting,2012,41152203,47320813
whats your number,2011,14011084,16152701
when the bough breaks,2016,29747603,1020846
when the game stands tall,2014,30127963,10949
while were young,2015,7582065,9921763
whiplash,2014,13092006,25877031
whiskey tango foxtrot,2016,23083334,2267413
white boy rick,2018,24004833,1943150
white house down,2013,73103784,132336603
why did i get married too,2010,60095852,735215
why him,2016,60323786,57101370
wicked blood,2014,0,0
widows,2018,42402632,31463456
wild,2014,37880356,14580187
wild card,2015,3200,4312589
wild target,2010,109338,5204856
winchester,2018,25091816,19286224
wind walkers,2015,0,0
windsor drive,2015,3256,0
winnie mandela,2013,61847,0
winnie the pooh,2011,26692846,23452761
winters bone,2010,6531503,9600048
wish i was here,2014,3591299,3000066
wish upon,2017,14301505,9175840
without men,2011,0,0
wolves,2014,0,94953
woman in gold,2015,33307793,25278614
wonder,2017,132422809,172181903
wonder woman,2017,412563408,408569970
wont back down,2012,5310554,434949
woodlawn,2015,14394097,9606
world war z,2013,202359711,329154939
wrath of the titans,2012,83670083,221600000
wreckit ralph,2012,189412677,307098844
wuthering heights,2012,100915,2620619
xmen apocalypse,2016,155442489,387095057
xmen days of future past,2014,233921534,513941241
xmen first class,2011,146408305,209000000
xxx return of xander cage,2017,44898413,300134946
yoga hosers,2016,0,22958
yogi bear,2010,100246011,104528679
you again,2010,25702053,7136892
you will meet a tall dark stranger,2010,3247816,31000000
young adult,2011,16311571,6438785
your highness,2011,21596445,4525193
your sisters sister,2012,1597486,1493107
youre next,2013,18494006,8393171
youth,2015,2703296,21298277
zambezia,2012,0,34454336
zero dark thirty,2012,95720716,38891719
zipper,2015,0,0
zookeeper,2011,80360866,90444659
zoolander 2,2016,28848693,26500000
zootopia,2016,341268248,678161368
